DON4,DON3
DEV4,DEV3
SYSG4,DEV3
LPDG4,DON4
ATLG4,ATLG3
SECG4,DEV3
SECG4,WEBG4
TEXG5,ETEG6
ETEG6,PRJG5
ETEG6,MOBG5
ETEG6,WEBG5
ETEG6,DONG5
ETEG6,ORGG5
ETEG6,ERPG5
ETEG6,SYSG5
ETEG6,TEXG5
ETEG6,VEI5
SYSIR3,DEV3
ETEI6,ORGIR5
ETEI6,ANLIR5
ETEI6,ATLIR5
RLII4,AUTI3
IEII5,RELI5
ROBI5,RELI5
PRJI5,RELI5
PRJI5,PIAI5
PRJI5,IEIIR
PRJI5,AUTI5
TEXI5,ETEI6
ETEI6,ROBI5
ETEI6,AUTI5
ETEI6,STRI5
ETEI6,IMGI5
ETEI6,PIAI5
ETEI6,IEII5
ETEI6,SECI5
ETEI6,RELI5
ETEI6,PRJI5
ETEI6,ORGIR5
ETEI6,ANLIR5
ETEI6,ATLIR5
ETEI6,TEXI5
ETEI6,VEI5
IXVR5,AGRR5
PRJR5,IXVR5
PRJR5,AGRR5
PRJR5,SECR5
TEXR5,ETER6
ETER6,IXVR5
ETER6,AGRR5
ETER6,SECR5
ETER6,PRJR5
ETER6,ORGIR5
ETER6,ANLIR5
ETER6,ATLIR5
ETER6,TEXR5
ETER6,VEI5
